TV Show,Season,Episode Number,Episode title,Holiday
How I Met Your Mother,1,1,Pilot,
How I Met Your Mother,1,2,Purple Giraffe,
How I Met Your Mother,1,3,Sweet Taste of Liberty,
How I Met Your Mother,1,4,Return of the Shirt,
How I Met Your Mother,1,5,Okay Awesome,
How I Met Your Mother,1,6,Slutty Pumpkim,Halloween
How I Met Your Mother,1,7,Matchmaker,
How I Met Your Mother,1,8,The Duel,
How I Met Your Mother,1,9,Belly Full of Turkey,Thanksgiving
How I Met Your Mother,1,10,The Pineapple Incident,
How I Met Your Mother,1,11,The Limo,New Year's
How I Met Your Mother,1,12,The Wedding,
How I Met Your Mother,1,13,"Drumroll, Please",
How I Met Your Mother,1,14,"Zip, Zip, Zip",
How I Met Your Mother,1,15,Game Night,
How I Met Your Mother,1,16,Cupcake,
How I Met Your Mother,1,17,Life Among the Gorillas,
How I Met Your Mother,1,18,Nothing Good Happens After 2 A.M.,
How I Met Your Mother,1,19,Mary the Paralegal,
How I Met Your Mother,1,20,Best Prom Ever,
How I Met Your Mother,1,21,Milk,
How I Met Your Mother,1,22,Come on,
How I Met Your Mother,2,1,Where Were We?,
How I Met Your Mother,2,2,The Scorpion and the Toad,
How I Met Your Mother,2,3,Brunch,
How I Met Your Mother,2,4,"Ted Mosby, Architect",
How I Met Your Mother,2,5,World's Greatest Couple,
How I Met Your Mother,2,6,Aldrin Justice,
How I Met Your Mother,2,7,Swarley,
How I Met Your Mother,2,8,Atlantic City,
How I Met Your Mother,2,9,Slap Bet,
How I Met Your Mother,2,10,Single Stamina,
How I Met Your Mother,2,11,How Lily Stole Christmas,Christmas
How I Met Your Mother,2,12,First Time in New York,
How I Met Your Mother,2,13,Columns,
How I Met Your Mother,2,14,Monday Night Football,
How I Met Your Mother,2,15,Lucky Penny,
How I Met Your Mother,2,16,Stuff,
How I Met Your Mother,2,17,"Arrivederci, Fiero",
How I Met Your Mother,2,18,Moving Day,
How I Met Your Mother,2,19,Bachelor Party,
How I Met Your Mother,2,20,Showdown,
How I Met Your Mother,2,21,Something Borrowed,
How I Met Your Mother,2,22,Something Blue,
